0,1,2,3,4,5,6,7,8,ID
frambuesa, fresa, cerez...,minerales, Terroso, hum...,pimienta, regaliz, tomi...,2266397
cereza, frutos rojos, f...,pimienta, anís,,cuero, minerales, Carne...,7314009
mora, ciruela, cereza n...,roble, vainilla, chocol...,cuero, aceto balsámico,...,1290219
mora,,,cuero,,,No disponible,,,8128046
cuero, Terroso, suelo d...,mora, frutos del bosque...,,roble, tabaco, vainilla,1600123
cereza, algodón de azúc...,,vainilla,,,No disponible,,,1307024
roble, clavo de olor, t...,cereza negra, fruta neg...,,humo, alquitrán,,1728096
cuero, Terroso, humo,ciruela, cereza negra, ...,cereza, guinda, frutos ...,2159584
vainilla, roble, tabaco,fruta negra, ciruela, f...,Terroso, minerales, cue...,2202125
vainilla, chocolate, ro...,frutos del bosque, ciru...,,cereza, frutos rojos,,4287458
cereza, frutos rojos, f...,roble, tabaco, vainilla,cuero, Terroso, hongo,1226450
ciruela, mora, arándano,roble, vainilla, café,cereza, frambuesa, frut...,1150779
Terroso, carne a la par...,,fruta negra, mora,,cereza,,,1664117
No disponible,,,No disponible,,,No disponible,,,2266422
ciruela, cereza negra, ...,cereza, frambuesa,,regaliz,,,1369787
roble, vainilla, cedro,cereza, frambuesa,,cereza negra, arándano,,1929610
cereza,,,caramelo, roble,,humo,,,1690434
cereza, fresa, frambues...,cuero, Terroso, hongo,roble, vainilla, tabaco,97283
fresa, cereza, arándano...,Terroso, minerales, hum...,arándano, mora, cereza ...,2554453
canela, regaliz, pimien...,cereza, frambuesa, gran...,Terroso, hongo, humo,1966864
fresa, cereza roja, fru...,vainilla, roble, mezcla...,regaliz, hinojo, anís,1443715
frutos rojos, cereza, f...,Terroso, cuero,,orégano, pimienta, rome...,4071897
No disponible,,,No disponible,,,No disponible,,,7328789
No disponible,,,No disponible,,,No disponible,,,4401644
fruta negra, casis,,cereza, frambuesa,,fruta seca,,,9204574
Terroso, grafito, cuero,frutos rojos, frambuesa...,,pimienta, menta, jalape...,1103262
vainilla, cigarro, choc...,mermelada, casis, cerez...,carne asada, humo, cuer...,1185921
ciruela, cereza negra, ...,Terroso, grafito, piedr...,cigarrera, cedro, choco...,93117
ciruela,,,roble,,,No disponible,,,1852007
frutos rojos,,,cacao,,,No disponible,,,1785575
cereza roja, cereza, ar...,Terroso, cuero, alquitr...,clavo de olor, roble, c...,1256966
humo, cuero, minerales,fresa, cereza, frutos r...,roble, tabaco, clavo de...,2482573
roble, coco, tabaco,fruta negra, mora, casi...,cereza, frutos rojos,,2607289
Terroso, minerales, hum...,fruta negra,,,frutos rojos,,,11219770
cereza negra, arándano,...,roble, vainilla, cedro,Terroso, Carne de caza,...,4152841
pimienta,,,No disponible,,,No disponible,,,6335734
Terroso, humo, cuero,cereza negra, ciruela,,roble, tabaco,,1186203
cereza, fresa, frambues...,roble, vainilla, manteq...,cuero, sal, Terroso,4314456
pimienta blanca, hierba...,,roble,,,ciruela roja,,,7710248
roble, tabaco, vainilla,cuero, Terroso, humo,frutos del bosque, ciru...,,1494577
cereza, fresa,,mermelada,,,humo,,,9231538
cereza, frutos rojos, f...,Terroso, minerales, cue...,roble, vainilla, chocol...,1175424
cereza negra, fruta neg...,,pimienta,,,clavo de olor,,,7804248
roble, vainilla, tabaco,fruta negra, mora, casi...,cuero, Terroso, humo,1175531
roble, bebida cola, tab...,cereza, bebida cola de ...,,cereza negra, fruta neg...,,11014675
mora, casis,,frambuesa,,,pimienta,,,8743487
mora,,,cereza,,,levadura,,,9164546
roble, vainilla, chocol...,mora, ciruela, frutos d...,cereza, frambuesa, fres...,5766586
No disponible,,,No disponible,,,No disponible,,,10211715
cuero, hierro, humo,roble, clavo de olor, c...,regaliz, almizcle,,1141287
ciruela, fruta negra, c...,cedro, roble, chocolate,cereza, frambuesa, frut...,1834632
tabaco dulce, vainilla,,frutos del bosque, arán...,,cereza,,,2116813
roble, tabaco, cedro,Terroso, cuero, humo,casis, mora, frutos del...,1675434
roble, chocolate, vaini...,ciruela, mora, fruta ne...,cuero, Terroso, humo,13371
cacao, Terroso, Carne d...,cereza, arándano rojo, ...,mora, frutos del bosque...,,7383505
Terroso, suelo del bosq...,,roble,,,ciruela pasa,,,1879204
hongo, Terroso,,cereza, frambuesa, ciru...,mora,,,6232586
mora, ciruela, mermelad...,regaliz, menta, ajedrea,mezcla de especias para...,,,8436799
No disponible,,,No disponible,,,No disponible,,,10958965
fresa, frambuesa, fruto...,humo, Terroso, minerale...,regaliz, pimienta, pimi...,1261039
mora, ciruela, fruta ne...,pimienta, pimienta blan...,,cereza, frutos rojos,,2107258
roble, vainilla, cedro,mora, fruta negra, casi...,cuero, Terroso, hongo,18799
roble, chocolate, vaini...,cereza, frambuesa, cere...,ciruela, mora, cereza n...,7395823
roble, tabaco, vainilla,cuero, Terroso, grafito,mora, fruta negra, cere...,1219699
fruta negra, mora, jamb...,roble, vainilla, carame...,frutos rojos, cereza, c...,9497762
caramelo, chocolate, ro...,Terroso, cuero, humo,frutos del bosque,,,7105940
cereza, arándano rojo, ...,mora, casis, cereza neg...,regaliz, almizcle,,1881912
cuero, Terroso, mineral...,tabaco, roble, clavo de...,ciruela, casis, cereza ...,1179465
mora, cereza negra, cir...,cuero, Terroso, hongo,pimienta blanca, pimien...,,1181447
cereza, frutos rojos, f...,Terroso, cuero, mineral...,roble, vainilla, tabaco,1123194
roble, tabaco, vainilla,cuero, aceto balsámico,...,cereza, cereza roja, fr...,1420652
fruta negra, casis, cer...,vainilla, roble, chocol...,cuero, Terroso, mineral...,2475833
cuero, Terroso, mineral...,cereza, frutos rojos, f...,roble, tabaco, clavo de...,79640
tabaco, vainilla, choco...,cuero, Terroso, suelo d...,cereza negra, mora, cas...,1101307
frutos rojos, cereza, g...,pimienta,,,chocolate, tabaco,,1150701
casis, fruta negra, cir...,roble, vainilla, tabaco,cuero, Terroso, humo,1211200
cereza, frutos rojos,,aceto balsámico, cuero,,tostada,,,1546843
cereza, frutos rojos, f...,Terroso, cuero, hongo,roble, tabaco, vainilla,2620585
arándano rojo, cereza, ...,Terroso, cuero, suelo d...,roble, chocolate, vaini...,2877909
aceto balsámico, Terros...,,cereza, frutos rojos, f...,frutos del bosque, casi...,,1696434
roble, tabaco, vainilla,frutos rojos, fresa, ce...,frutos del bosque, mora...,,1192767
cereza, frambuesa, frut...,Terroso, cuero, mineral...,ciruela, mora, casis,1223680
naranja,,,No disponible,,,No disponible,,,10536094
roble, vainilla,,cereza,,,No disponible,,,10918470
roble, vainilla, tabaco,cuero, Terroso, humo,cereza, frutos rojos, f...,1145899
cereza, frutos rojos, c...,cuero, Terroso, alquitr...,roble, tabaco, cedro,5666325
roble, vainilla, tabaco,mora, ciruela, fruta ne...,cereza, frutos rojos, f...,72634
romero, menta, eucalipt...,vainilla, roble, chocol...,cereza, frambuesa, cere...,1784146
mora,,,cuero,,,levadura,,,9662418
grosella roja, cereza, ...,ceniza, Terroso, minera...,chocolate, roble, vaini...,5850200
roble, tabaco, vainilla,heno, hierba,,frutos rojos,,,7436539
cereza, grosella roja,,vainilla, roble,,cacao, cuero, humo,2005984
No disponible,,,No disponible,,,No disponible,,,3810641
mora, casis, ciruela,cereza, frambuesa,,humo, trufa negra, carn...,2013852
frutos rojos,,,canela,,,Terroso,,,2580005
mora, cereza negra, fru...,cuero, humo,,roble, tabaco, clavo de...,8122074
cereza, frambuesa, arán...,roble, clavo de olor, v...,ciruela, cereza negra, ...,779238
tomillo,,,cereza,,,ciruela,,,1824076
roble, vainilla, tabaco,ciruela, cereza negra, ...,arándano rojo, fresa,,1984066
suelo del bosque, Carne...,,casis, mermelada,,mezcla de especias para...,,,7783134
Terroso, hongo, mineral...,mora, mermelada de mora...,,fresa, cereza, frutos r...,1239077
No disponible,,,No disponible,,,No disponible,,,11777262
cereza negra, mora, cas...,vainilla, mantequilla,,frambuesa, cereza roja,,1728951
cuero, Terroso, alquitr...,tabaco, roble, vainilla,cereza, frutos rojos, c...,1203251
cereza, frambuesa, arán...,cuero, Terroso, cacao,roble, tabaco, mezcla d...,1523831
vainilla, chocolate, ca...,higo seco, tostada,,cereza, frambuesa, frut...,1586861
fruta negra, mora,,No disponible,,,No disponible,,,10182075
chocolate, roble, vaini...,mora, cereza negra, mer...,cereza, cereza roja, fr...,84862
roble, vainilla, chocol...,cereza, frambuesa, fres...,hierro, cacao, Terroso,1158112
cereza, fresa,,No disponible,,,No disponible,,,9823185
heno,,,minerales,,,No disponible,,,8990836
mora, ciruela, frutos d...,vainilla, chocolate, ro...,cereza, frutos rojos, f...,1200283
No disponible,,,No disponible,,,No disponible,,,12072602
fruta negra, mora, frut...,roble, clavo de olor, t...,pimienta, canela, romer...,4607101
frambuesa, cereza, frut...,ceniza, Terroso, humo,caramelo, tabaco,,7666071
Terroso, cuero, trufa n...,cereza, frutos rojos, f...,roble, vainilla, chocol...,1184699
chocolate, tabaco, taba...,cereza negra,,,No disponible,,,1426994
casis, arándano, zarza,frutos rojos,,,cacao,,,6681349
cereza, fresa, frambues...,roble, vainilla, chocol...,mora, mermelada, fruta ...,1143981
No disponible,,,No disponible,,,No disponible,,,3495289
mora, mermelada, casis,cuero, aceto balsámico,...,pimienta, canela,,1589301
vainilla, roble, cedro,ciruela, mora, fruta ne...,cuero, aceto balsámico,...,5901247
roble, chocolate, tabac...,pasas de uva, fruta sec...,,cacao, Terroso, humo,8902461
Terroso, cuero, mineral...,tabaco, roble, clavo de...,cereza, frutos rojos, c...,1899369
roble, chocolate, vaini...,ciruela, casis, fruta n...,cuero, Terroso, mineral...,1202814
roble, vainilla, chocol...,mora, ciruela, arándano,frambuesa, cereza, frut...,1783619
roble, vainilla, tabaco,mora, casis, arándano,cereza, frambuesa, frut...,9997
fruta negra, ciruela, m...,roble,,,arándano rojo,,,10938437
fresa, frutos rojos,,roble, caramelo, vainil...,Terroso, cuero,,2891155
cereza negra, ciruela, ...,cereza, cerezo ácido, b...,regaliz, canela, pimien...,7287742
vainilla, roble, tabaco,cereza, frambuesa, cere...,cuero, Terroso, suelo d...,21074
roble, vainilla, chocol...,casis, frutos del bosqu...,,grafito, aceto balsámic...,,4362433
cereza, arándano rojo, ...,fruta negra, ciruela es...,,Terroso, cuero, piedra,11145159
arándano rojo, granada,...,pomelo, cítrico,,suelo del bosque, Terro...,,6910000
roble, tabaco, vainilla,casis, ciruela, mora,cuero, Terroso, humo,1874
mora, cereza negra, fru...,aceto balsámico, Terros...,,café, roble, tabaco,9091520
roble, tabaco, cedro,cereza, frutos rojos, f...,Terroso, cuero, cacao,1812267
roble, tabaco,,frutos del bosque,,,No disponible,,,11045602
cereza, frambuesa, frut...,clavo de olor, roble, t...,mora, cereza negra, cir...,1715158
cereza, fresa, frutos r...,ciruela, mermelada, cas...,pimienta, tomillo, rome...,1250658
cereza, frutos rojos, f...,roble, chocolate, vaini...,pasas de uva, ciruela p...,,3049283
ciruela, fruta negra, m...,pimienta, regaliz, cane...,cereza, frambuesa, frut...,5213875
roble, pacana, tabaco,humo, piedra,,mora, arándano,,13623
cereza negra, frutos de...,,ciruela roja, cereza, f...,regaliz, eucalipto,,5443998
frambuesa, cereza, fres...,Terroso, cuero, aceto b...,roble, caramelo, incien...,1548332
tabaco, clavo de olor, ...,Terroso, cuero, humo,ciruela, cereza negra,,1371684
No disponible,,,No disponible,,,No disponible,,,11302937
fresa, frambuesa, fruto...,cuero, Terroso, mineral...,ciruela, arándano, mora,7012429
roble, café, vainilla,Terroso, humo,,mermelada, cereza negra...,,9819244
roble, chocolate, clavo...,mora, ciruela, casis,cereza, frambuesa, cere...,6639913
frambuesa, cereza, arán...,Terroso, humo, olla de ...,regaliz, pimienta, almi...,7195348
cereza,,,cuero,,,sabor a nuez,,,1217244
Terroso, humo,,frutos rojos,,,cedro,,,5206783
No disponible,,,No disponible,,,No disponible,,,4712534
mora, ciruela, frutos d...,roble, vainilla, tabaco,cereza, fresa, frutos r...,4342380
mora, ciruela, zarza,cereza, frambuesa, fres...,vainilla, tabaco, choco...,1642171
regaliz, pimienta, pimi...,frutos rojos,,,violeta,,,4525838
fruta negra, cereza neg...,,cuero, pizarra,,regaliz, romero,,5758892
mora, mermelada, fruta ...,roble, tabaco, café,cuero, Terroso, suelo d...,1571274
fresa, cereza, frutos r...,Terroso, minerales, hum...,pimienta, pimienta blan...,,5029953
cereza, fresa, frambues...,pimienta, regaliz, ment...,mora, arándano, ciruela,3584126
cereza, fresa, frambues...,minerales, Terroso, cue...,ciruela, frutos del bos...,,1516794
roble, vainilla, chocol...,mora, ciruela, frutos d...,cereza, frambuesa, frut...,4506
cuero, Carne de caza,,tabaco,,,mora,,,1366413
No disponible,,,No disponible,,,No disponible,,,7312900
roble, vainilla, tabaco,ciruela, mora, fruta ne...,cuero, humo, Terroso,1199057
mora, fruta negra, casi...,tabaco, cedro, chocolat...,frambuesa, frutos rojos...,,4784293
mora, ciruela, casis,cuero, humo, Terroso,pimienta, anís, hierbas...,5995003
cereza, fresa, frambues...,vainilla, chocolate, ce...,cuero, aceto balsámico,...,1249952
cuero, humo, Terroso,mora, ciruela, fruta ne...,roble, tabaco, chocolat...,4716633
cereza, fresa, frutos r...,roble, mezcla de especi...,,Terroso, cuero, aceto b...,1399714
chocolate, roble, vaini...,ciruela, arándano, casi...,cereza, fresa,,10067679
caramelo, chocolate, ro...,frutos rojos, fresa,,cereza negra, frutos de...,,7102196
cereza, fresa, frambues...,Terroso, cuero, hongo,pimienta, regaliz, pimi...,1084764
cereza, frambuesa, fres...,Terroso, minerales, hon...,arándano, ciruela, merm...,1241009
frambuesa, cereza, arán...,aceto balsámico, Terros...,,mora, ciruela, fruta ne...,6123657
frambuesa, arándano roj...,,regaliz, canela, hierba...,cuero, Terroso, hongo,7777697
arándano, mermelada,,queso,,,No disponible,,,9691161
fresa, cereza roja, fru...,roble,,,cereza negra, fruta neg...,,2158459
cereza, frutos rojos, f...,cereza negra, mora, cas...,roble, tabaco, tofi,5987334
pimiento asado,,,No disponible,,,No disponible,,,9085549
cereza, frambuesa, frut...,violeta, pétalo de rosa,,mermelada, ciruela agri...,,2694784
cereza, arándano rojo, ...,Terroso, cuero, hongo,roble, cedro, chocolate,7210144
cuero, hongo, Terroso,tabaco, vainilla,,casis, mora,,1462797
cuero, humo, minerales,cereza, frambuesa, frut...,cereza negra, mermelada...,,2672534
frutos rojos, cereza, f...,Terroso, minerales, hie...,vainilla, roble, cedro,89833
No disponible,,,No disponible,,,No disponible,,,11063520
fruta negra, frutos del...,,No disponible,,,No disponible,,,1961351
chocolate, café, tabaco,mora, casis, casis,higo,,,4018591
roble, chocolate, mante...,Terroso, tiza, cuero,cereza, fresa, frambues...,1467833
casis,,,mentol, pimienta,,Terroso, minerales,,1165431
cereza, fresa, frambues...,roble, vainilla, tabaco,pimienta,,,10619877
mora, arándano, casis,tabaco, roble, mezcla d...,cuero, Terroso, cacao,2055411
cereza, arándano rojo, ...,vainilla, mezcla de esp...,,cuero, suelo del bosque...,,1656315
roble, chocolate, tabac...,ciruela, mora, frutos d...,Terroso, cuero, humo,1169652
cereza, frutos rojos, f...,mora, cereza negra, ará...,roble, vainilla, chocol...,1189450
roble, vainilla, carame...,fruta negra, ciruela, m...,cacao, humo, cuero,1765097
roble, vainilla, tabaco,ciruela, arándano, frut...,cuero, Terroso, humo,1165475
roble, chocolate, coco,mora, arándano, zarza,cereza, frutos rojos, c...,1927267
roble, tabaco, vainilla,fruta negra, cereza neg...,,cuero, humo, Terroso,2059635
roble, vainilla, tabaco,cuero, Terroso, aceto b...,cereza, frutos rojos, f...,1199781
cereza,,,vainilla,,,No disponible,,,6313885
roble, tabaco,,cereza negra, zarza,,cuero, Terroso,,1241440
roble, chocolate, vaini...,mora, casis, frutos del...,cuero, Terroso, mineral...,1180600
vainilla, roble, chocol...,mora, cereza negra, cas...,Terroso, cuero,,3004992
cereza, frambuesa, frut...,cereza negra, mora, ará...,pimienta verde, pimient...,,1367800
cereza, frutos rojos, f...,vainilla, roble, tabaco,humo, cuero, hongo,1982336
roble, vainilla, chocol...,mora, fruta negra, ciru...,cuero, Terroso, humo,1191230
roble, cedro, chocolate,frutos rojos, cereza,,Terroso, cuero, hongo,1607033
Terroso, cuero, humo,roble, tabaco, vainilla,cereza, frambuesa, fres...,1202731
cuero, Terroso, aceto b...,roble, tabaco, vainilla,cereza, frutos rojos, f...,1173325
cereza, cereza roja, ce...,roble, clavo de olor, v...,canela, regaliz, pimien...,5449741
chocolate, café, tabaco...,fruta negra, arándano, ...,cereza, frutos rojos, f...,1212594
chocolate amargo, choco...,,cacao, aceto balsámico,...,cereza, frambuesa, frut...,1161022
ciruela, mora, casis,roble, vainilla, chocol...,cuero, Terroso, humo,1221428
ciruela, frutos del bos...,,roble, tabaco, vainilla,cereza, frutos rojos, c...,2040275
roble, vainilla, chocol...,mora, arándano, cereza ...,cereza, grosella roja, ...,6917981
fresa, cereza, frambues...,Terroso, humo, hongo,roble, caramelo, chocol...,2388389
roble, tabaco, caramelo,cereza, frambuesa, fres...,ciruela, cereza negra,,7290507
cereza, frambuesa, cere...,roble, clavo de olor, t...,ciruela, fruta negra, m...,1902965
arándano rojo, cereza, ...,Terroso, cuero, humo,regaliz, menta, orégano,5612484
cereza, frambuesa, fres...,Terroso, minerales, hon...,mora, ciruela, cereza n...,1484764
roble, vainilla, chocol...,mora, ciruela, frutos d...,cuero, Terroso, humo,7980485
café, chocolate, roble,fruta negra, ciruela, m...,cuero, Terroso, humo,1372976
Terroso, cuero, humo,ciruela, cereza negra, ...,roble, tabaco, vainilla,1151249
cereza, cereza roja, fr...,vainilla, roble, tabaco,cuero, suelo del bosque...,,10718390
chocolate, vainilla, ro...,casis, ciruela, cereza ...,cereza, frutos rojos, f...,1227701
cereza, frambuesa, frut...,cuero, hongo, humo,roble, cedro, vainilla,2409595
roble, chocolate, tabac...,mora, ciruela, fruta ne...,cuero, Terroso, humo,1127288
vainilla, café, chocola...,arándano, fruta negra, ...,cuero, Terroso, solució...,1241150
roble, vainilla, clavo ...,frutos del bosque, cere...,,cereza, fresa,,5706059
No disponible,,,No disponible,,,No disponible,,,6858544
fresa, frambuesa, fruto...,Terroso, hongo, humo,roble, vainilla, tabaco,1153024
cereza, grosella roja,,fruta negra,,,hibiscos,,,10722615
menta, eucalipto, regal...,casis, casis, ciruela,chocolate, chocolate am...,,76169
ciruela, frutos del bos...,,roble, chocolate, cedro,pimienta, pimienta blan...,,1553460
ciruela, mora, arándano,roble, caramelo, cedro,pimienta blanca, pimien...,,75989
Terroso, cuero, suelo d...,mora, ciruela, cereza n...,cereza, frutos rojos, f...,2248147
roble, chocolate, choco...,cuero, humo, Carne de c...,ciruela, mora, casis,1731057
roble, vainilla, cigarr...,cuero, hongo, humo,cereza,,,5512161
cereza, frambuesa, cere...,Terroso, hierro,,violeta,,,6270384
cuero, Terroso, humo,mora, arándano, fruta n...,cereza, bebida cola de ...,,5530829
cereza, fresa, frutos r...,minerales, Terroso, hum...,roble, vainilla, chocol...,4653799
mora, fruta negra, casi...,roble, tabaco, vainilla,cuero, Terroso, humo,1117453
frutos rojos, frambuesa...,,Terroso, minerales, hum...,roble, tabaco, cigarro,7206546
frutos rojos, cereza, f...,cuero, Terroso, mineral...,ajedrea, pimienta blanc...,,1316501
fresa, frambuesa, cerez...,aceto balsámico, humo, ...,roble, chocolate amargo...,,1286402
roble, vainilla, chocol...,fruta negra, mora, cere...,Terroso, cuero, humo,2895131
roble, chocolate, vaini...,cereza, frutos rojos, f...,cuero, aceto balsámico,...,1257829
mora, cereza negra, mer...,tabaco, mezcla de espec...,,cuero, minerales, humo,1658625
roble, vainilla, tabaco,ciruela, cereza negra, ...,cuero, humo, Terroso,1166432
frambuesa, cereza, cere...,mora, ciruela, cereza n...,regaliz, pimienta, cane...,6111676
tabaco, roble, vainilla,casis, mora, ciruela,pimienta, regaliz, cane...,1927946
roble, tabaco, vainilla,mora, ciruela, frutos d...,Terroso, humo, cuero,23783
roble, tabaco, chocolat...,humo, cuero, Terroso,cereza, frutos rojos, c...,1221846
cuero, Terroso, hongo,roble, vainilla, tabaco,cereza, frutos rojos, f...,71594
roble, café, tabaco,cereza, frambuesa, arán...,mora, cereza negra, cas...,2383013
No disponible,,,No disponible,,,No disponible,,,11535972
tabaco, café, roble,cuero, Terroso, humo,mora, ciruela, fruta ne...,77029
ciruela, arándano, mora,Terroso, cuero, hongo,clavo de olor, tabaco, ...,1205167
cereza, frutos rojos, f...,roble, chocolate, mante...,Terroso, cuero, mineral...,1900616
fresa, cereza, frambues...,Terroso, cuero, suelo d...,vainilla, chocolate, ro...,1241236
cereza, fresa, arándano...,roble, mantequilla, vai...,Terroso, cuero, humo,1199045
cuero, Terroso, alquitr...,tabaco, roble, vainilla,cereza, fresa, frambues...,1154338
mora, arándano, casis,tabaco, roble, cedro,cuero, Terroso, grafito,1822321
casis, mora, casis,chocolate, tabaco, vain...,cuero, minerales,,1986568
tabaco, chocolate, robl...,Terroso, hongo, mineral...,frambuesa, frutos rojos...,,2339228
cereza, frambuesa, fres...,Terroso, Carne de caza,...,ciruela, cereza negra, ...,1406409
cereza, frambuesa, gros...,suelo del bosque, cuero...,,heno,,,2138666
roble, vainilla, tabaco,mora, ciruela, casis,cuero, humo, Terroso,1637564
cereza negra, mora, cas...,roble, mantequilla, cig...,pimienta, canela, hierb...,5392461
Terroso, minerales, hon...,cereza roja, frutos roj...,,roble, pacana, tabaco,1150405
ciruela, mora, arándano,roble, vainilla, chocol...,pimienta, regaliz, euca...,13556
roble, tabaco, vainilla,ciruela, mora, casis,cuero, Terroso, humo,85159
cereza, frambuesa, frut...,Terroso, hongo, cuero,roble, vainilla, clavo ...,66874
mora, ciruela, casis,roble, tabaco, chocolat...,cereza, frutos rojos, f...,1229120
mora, ciruela, frutos d...,cereza, frutos rojos, f...,cuero, Terroso, humo,2221958
cereza, frambuesa, fres...,roble, vainilla, cedro,Terroso, humo, hongo,1773506
casis, ciruela, mora,roble, café, chocolate ...,Terroso, Carne de caza,...,20130
chocolate, tabaco, vain...,ciruela, cereza negra, ...,cereza,,,5839110
mora, casis, cereza neg...,roble, tabaco, vainilla,pimienta, pimienta blan...,,1591308
cuero, Terroso, humo,roble, tabaco, vainilla,cereza, frutos rojos, a...,1473682
pimienta,,,No disponible,,,No disponible,,,6823014
cereza, granada, cereza...,chocolate para cocinar,...,,Terroso, minerales, hum...,1911463
cereza,,,pimienta,,,roble,,,9338303
fresa, frambuesa, cerez...,suelo del bosque, Terro...,,roble, cedro, nuez mosc...,1318331
cereza, frambuesa, frut...,Terroso, minerales, hum...,roble, vainilla, cedro,2387756
frambuesa, frutos rojos...,,Terroso, minerales, ace...,roble, chocolate, cedro,5332825
Terroso,,,No disponible,,,No disponible,,,6402280
frutos rojos, cereza, f...,fruta negra, frutos del...,,Terroso, suelo del bosq...,,1183783
roble, tabaco, vainilla,cereza, frambuesa, frut...,Terroso, cuero, mineral...,6170313
fruta negra, ciruela, m...,cedro, eneldo, roble,cuero, Terroso,,1386963
roble, vainilla, tabaco,fruta negra, mora, casi...,cereza, frambuesa, arán...,3611492
fresa, cereza,,aceto balsámico, cuero,...,chocolate, tabaco,,1183006
cereza negra, ciruela, ...,cereza, frambuesa, frut...,cuero, Terroso, mineral...,1671765
caucho,,,roble,,,No disponible,,,1510795
roble, vainilla, tabaco,ciruela, mora, cereza n...,cuero, humo, Terroso,1445721
cereza, grosella roja, ...,casis,,,roble,,,2969493
roble, vainilla, cedro,cereza, fresa, salsa de...,mora, cereza negra, cas...,1939301
roble, vainilla, tabaco,cereza, fresa, frutos r...,mora, ciruela, fruta ne...,1817570
fresa, cereza, frambues...,cuero, minerales, Terro...,frutos del bosque, mora...,,3607970
mora, arándano, ciruela,vainilla,,,No disponible,,,3973511
frambuesa, fresa, cerez...,hongo, Terroso, sílex,mora, cereza negra, fru...,4156410
cereza, frutos rojos, f...,pimienta, tomillo,,clavo de olor, tabaco,,7601210
casis, casis, ciruela,Terroso, cuero, hongo,frambuesa, cereza, gros...,1858021
roble, vainilla, chocol...,ciruela, arándano, mora,Terroso, cuero, humo,1167755
cereza, fresa, cereza r...,Terroso, cuero, especia...,eneldo, vainilla, roble,1245734
roble, vainilla, tabaco,ciruela, fruta negra, c...,humo, cuero, Terroso,1217408
Terroso, cuero, cacao,mora, fruta negra, merm...,frambuesa, fresa, cerez...,5306821
cereza, fresa, frambues...,cuero, Terroso, hierro,roble, tabaco, cedro,1550204
vainilla, roble, tabaco,casis, mora, ciruela,cuero, Terroso, humo,2130465
ciruela, mora, frutos d...,roble, vainilla, chocol...,cuero, humo, Terroso,2639906
frambuesa, frutos rojos...,,pimienta molida, hierba...,,roble, chocolate,,2918930
chocolate, roble, café,casis, mora, arándano,cuero, ceniza, piedra t...,1408852
mora, ciruela, casis,cereza, frambuesa, cere...,hongo, cuero, Terroso,1150840
roble, vainilla,,mora,,,cereza,,,8031671
roble, mantequilla, cho...,ciruela, mora, fruta ne...,regaliz, pimienta, cane...,1256751
cereza, arándano rojo, ...,chocolate, roble, cigar...,pasas de uva, tarta de ...,,2398536
ciruela, fruta negra, m...,cuero, minerales, aceto...,café, tabaco, caramelo,1125614
mora, ciruela, cereza n...,cuero, cera,,cigarrera, roble, tabac...,1549434
